invoice_id,unit_price,quantity,tax_5%,total,cogs,gross_margin_percentage,gross_income,rating,date,week_start,week_of_year,day_of_week,month_number,month_name,quarter,year,season,time,day_part,branch,city,customer_type,gender,payment,product_line
750-67-8428,74.69,7.0,26.1415,548.9715,522.83,4.761904762,26.1415,9.1,2019-01-05,2018-12-31,1,6,1,January,1,2019,winter,13:08:00,noon,A,Yangon,Member,Female,Ewallet,Health and beauty
226-31-3081,15.28,5.0,3.82,80.22,76.4,4.761904762,3.82,9.6,2019-03-08,2019-03-04,10,5,3,March,1,2019,spring,10:29:00,morning,C,Naypyitaw,Normal,Female,Cash,Electronic accessories
631-41-3108,46.33,7.0,16.2155,340.5255,324.31,4.761904762,16.2155,7.4,2019-03-03,2019-02-25,9,7,3,March,1,2019,spring,13:23:00,noon,A,Yangon,Normal,Male,Credit card,Home and lifestyle
123-19-1176,58.22,8.0,23.288,489.048,465.76,4.761904762,23.288,8.4,2019-01-27,2019-01-21,4,7,1,January,1,2019,winter,20:33:00,evening,A,Yangon,Member,Male,Ewallet,Health and beauty
373-73-7910,86.31,7.0,30.2085,634.3785,604.17,4.761904762,30.2085,5.3,2019-02-08,2019-02-04,6,5,2,February,1,2019,winter,10:37:00,morning,A,Yangon,Normal,Male,Ewallet,Sports and travel
699-14-3026,85.39,7.0,29.8865,627.6165,597.73,4.761904762,29.8865,4.1,2019-03-25,2019-03-25,13,1,3,March,1,2019,spring,18:30:00,evening,C,Naypyitaw,Normal,Male,Ewallet,Electronic accessories
355-53-5943,68.84,6.0,20.652,433.692,413.04,4.761904762,20.652,5.8,2019-02-25,2019-02-25,9,1,2,February,1,2019,winter,14:36:00,noon,A,Yangon,Member,Female,Ewallet,Electronic accessories
315-22-5665,73.56,10.0,36.78,772.38,735.6,4.761904762,36.78,8.0,2019-02-24,2019-02-18,8,7,2,February,1,2019,winter,11:38:00,noon,C,Naypyitaw,Normal,Female,Ewallet,Home and lifestyle
665-32-9167,36.26,2.0,3.626,76.146,72.52,4.761904762,3.626,7.2,2019-01-10,2019-01-07,2,4,1,January,1,2019,winter,17:15:00,evening,A,Yangon,Member,Female,Credit card,Health and beauty
692-92-5582,54.84,3.0,8.226,172.746,164.52,4.761904762,8.226,5.9,2019-02-20,2019-02-18,8,3,2,February,1,2019,winter,13:27:00,noon,B,Mandalay,Member,Female,Credit card,Food and beverages
351-62-0822,14.48,4.0,2.896,60.816,57.92,4.761904762,2.896,4.5,2019-02-06,2019-02-04,6,3,2,February,1,2019,winter,18:07:00,evening,B,Mandalay,Member,Female,Ewallet,Fashion accessories
529-56-3974,25.51,4.0,5.102,107.142,102.04,4.761904762,5.102,6.8,2019-03-09,2019-03-04,10,6,3,March,1,2019,spring,17:03:00,evening,B,Mandalay,Member,Male,Cash,Electronic accessories
365-64-0515,46.95,5.0,11.7375,246.4875,234.75,4.761904762,11.7375,7.1,2019-02-12,2019-02-11,7,2,2,February,1,2019,winter,10:25:00,morning,A,Yangon,Normal,Female,Ewallet,Electronic accessories
252-56-2699,43.19,10.0,21.595,453.495,431.9,4.761904762,21.595,8.2,2019-02-07,2019-02-04,6,4,2,February,1,2019,winter,16:48:00,noon,A,Yangon,Normal,Male,Ewallet,Food and beverages
829-34-3910,71.38,10.0,35.69,749.49,713.8,4.761904762,35.69,5.7,2019-03-29,2019-03-25,13,5,3,March,1,2019,spring,19:21:00,evening,A,Yangon,Normal,Female,Cash,Health and beauty
299-46-1805,93.72,6.0,28.116,590.436,562.32,4.761904762,28.116,4.5,2019-01-15,2019-01-14,3,2,1,January,1,2019,winter,16:19:00,noon,B,Mandalay,Member,Female,Cash,Sports and travel
656-95-9349,68.93,7.0,24.1255,506.6355,482.51,4.761904762,24.1255,4.6,2019-03-11,2019-03-11,11,1,3,March,1,2019,spring,11:03:00,noon,A,Yangon,Member,Female,Credit card,Health and beauty
765-26-6951,72.61,6.0,21.783,457.443,435.66,4.761904762,21.783,6.9,2019-01-01,2018-12-31,1,2,1,January,1,2019,winter,10:39:00,morning,A,Yangon,Normal,Male,Credit card,Sports and travel
329-62-1586,54.67,3.0,8.2005,172.2105,164.01,4.761904762,8.2005,8.6,2019-01-21,2019-01-21,4,1,1,January,1,2019,winter,18:00:00,evening,A,Yangon,Normal,Male,Credit card,Food and beverages
319-50-3348,40.3,2.0,4.03,84.63,80.6,4.761904762,4.03,4.4,2019-03-11,2019-03-11,11,1,3,March,1,2019,spring,15:30:00,noon,B,Mandalay,Normal,Female,Ewallet,Home and lifestyle
300-71-4605,86.04,5.0,21.51,451.71,430.2,4.761904762,21.51,4.8,2019-02-25,2019-02-25,9,1,2,February,1,2019,winter,11:24:00,noon,C,Naypyitaw,Member,Male,Ewallet,Electronic accessories
371-85-5789,87.98,3.0,13.197,277.137,263.94,4.761904762,13.197,5.1,2019-03-05,2019-03-04,10,2,3,March,1,2019,spring,10:40:00,morning,B,Mandalay,Normal,Male,Ewallet,Health and beauty
273-16-6619,33.2,2.0,3.32,69.72,66.4,4.761904762,3.32,4.4,2019-03-15,2019-03-11,11,5,3,March,1,2019,spring,12:20:00,noon,B,Mandalay,Normal,Male,Credit card,Home and lifestyle
636-48-8204,34.56,5.0,8.64,181.44,172.8,4.761904762,8.64,9.9,2019-02-17,2019-02-11,7,7,2,February,1,2019,winter,11:15:00,noon,A,Yangon,Normal,Male,Ewallet,Electronic accessories
549-59-1358,88.63,3.0,13.2945,279.1845,265.89,4.761904762,13.2945,6.0,2019-03-02,2019-02-25,9,6,3,March,1,2019,spring,17:36:00,evening,A,Yangon,Member,Male,Ewallet,Sports and travel
227-03-5010,52.59,8.0,21.036,441.756,420.72,4.761904762,21.036,8.5,2019-03-22,2019-03-18,12,5,3,March,1,2019,spring,19:20:00,evening,A,Yangon,Member,Female,Credit card,Home and lifestyle
649-29-6775,33.52,1.0,1.676,35.196,33.52,4.761904762,1.676,6.7,2019-02-08,2019-02-04,6,5,2,February,1,2019,winter,15:31:00,noon,B,Mandalay,Normal,Male,Cash,Fashion accessories
189-17-4241,87.67,2.0,8.767,184.107,175.34,4.761904762,8.767,7.7,2019-03-10,2019-03-04,10,7,3,March,1,2019,spring,12:17:00,noon,A,Yangon,Normal,Female,Credit card,Fashion accessories
145-94-9061,88.36,5.0,22.09,463.89,441.8,4.761904762,22.09,9.6,2019-01-25,2019-01-21,4,5,1,January,1,2019,winter,19:48:00,evening,B,Mandalay,Normal,Female,Cash,Food and beverages
848-62-7243,24.89,9.0,11.2005,235.2105,224.01,4.761904762,11.2005,7.4,2019-03-15,2019-03-11,11,5,3,March,1,2019,spring,15:36:00,noon,A,Yangon,Normal,Male,Cash,Health and beauty
871-79-8483,94.13,5.0,23.5325,494.1825,470.65,4.761904762,23.5325,4.8,2019-02-25,2019-02-25,9,1,2,February,1,2019,winter,19:39:00,evening,B,Mandalay,Normal,Male,Credit card,Fashion accessories
